procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0     12 2033548   2068 8839272    0    0     0    44 1146  571  0  0 99  0  0  0
 2  0     12 2032292   2068 8839272    0    0     0    44 1515  674  0  1 99  0  0  0
 2  0     12 2032292   2068 8839280    0    0     0     0  973  650  0  0 100  0  0  0
 1  0     12 2032292   2068 8839280    0    0     0     0  983  598  0  1 99  0  0  0
 1  0     12 2032292   2080 8839288    0    0     0    48  726  400  0  0 100  0  0  0
 0  0     12 2031788   2080 8839288    0    0     0     0 1028  549  1  1 99  0  0  0
 0  0     12 2032296   2080 8839300    0    0     0    96 1629 1045  0  1 98  0  0  0
 1  0     12 2032296   2080 8839300    0    0     0     4  661  331  0  0 100  0  0  0
 1  0     12 2032296   2080 8839300    0    0     0     0  846  372  0  0 100  0  0  0
 0  0     12 2032296   2092 8839300    0    0     0    48  717  375  0  0 99  0  0  0
 0  0     12 2032300   2092 8839304    0    0     0     0 1097  583  1  1 99  0  0  0
 0  0     12 2032692   2092 8839304    0    0     0    36 1050  580  0  1 99  0  0  0
 0  0     12 2032692   2092 8839304    0    0     0     0  785  458  0  0 100  0  0  0
 0  0     12 2032804   2092 8839304    0    0     0     0  753  375  0  1 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0     12 2032804   2104 8839312    0    0     0    44  712  412  0  0 100  0  0  0
 0  0     12 2033056   2104 8839312    0    0     0     0 1490  945  1  1 98  0  0  0
 0  0     12 2033312   2104 8839320    0    0     0     0 1486  861  0  1 99  0  0  0
 0  0     12 2033312   2104 8839324    0    0     0    40  889  425  0  0 100  0  0  0
 0  0     12 2033312   2104 8839332    0    0     0     0 1224  792  0  1 99  0  0  0
 0  0     12 2033312   2112 8839332    0    0     0    44  839  433  0  0 99  0  0  0
 0  0     12 2033312   2112 8839332    0    0     0     0 1197  550  0  1 99  0  0  0
 0  0     12 2033312   2112 8839428    0    0     0     0 1225  655  0  1 99  0  0  0
 1  0     12 2033312   2112 8839432    0    0     0   176  935  444  0  0 99  0  0  0
 0  0     12 2033312   2112 8839432    0    0     0     0  750  319  0  0 100  0  0  0
 0  0     12 2033312   2120 8839432    0    0     0    64  754  446  0  0 100  0  0  0
 1  0     12 2033060   2120 8839432    0    0     0     0  786  468  0  0 99  0  0  0
 0  0     12 2033060   2120 8839440    0    0     0     0 1101  635  0  1 99  0  0  0
 0  0     12 2033060   2120 8839444    0    0     0    72  598  325  0  0 100  0  0  0
 1  0     12 2033060   2120 8839452    0    0     0     0 1179  935  2  1 96  0  0  0
 0  0     12 2033060   2128 8839468    0    0     0    36 2037 1964  1  2 97  0  0  0
